"fecha";"Run Fondo";"nombre_fondo";"nemotecnico_inst";"nombre_emisor";"cod_pais_emisor";"tipo_instrumento";"fecha_vencimiento";"situacion_instrumento";"clasificacion_riesgo";"nom_grupo_empresa";"cant_unidades";"tipo_unidades";"tir";"valor_par";"valor_relevante";"codigo_valorizacion";"base_tasa";"tipo_interes";"valorizacion_cierre";"cod_moneda_liquid";"cod_pais_transaccion";"prctj_capital_emisor";"prctj_activo_emisor";"prctj_acitvo_fondo";"prctj_activo_fondo"
2023-06-30;"9655";DEUDA INTERNACIONAL;VOTFHIU LX;Vontobel Fund - Twentyfour Str;LU;CFME;;"1";NA;NA;3338.84;PROM;;;124.89;"3";0;NA;417;PROM;LU;0.271;0.011;;1.146
2023-07-31;"9655";DEUDA INTERNACIONAL;BBEMBQU LX;BlueBay Emerging Market Bond F;LU;CFME;;"1";NA;NA;23099.99;PROM;;;109.22;"3";0;NA;2523;PROM;LU;0.523;0.523;;6.742
2023-01-31;"8172";CA DEFENSIVA DÓLAR;CFME LVAHY;LUXDLATHY;LU;CFME;;"1";NA;NA;9063.03;PROM;;;131.51;"3";0;NA;1192;PROM;LU;1.236;0;;2.743
2023-01-31;"8172";CA DEFENSIVA DÓLAR;ETFB JNK;SPDR BBG BARC HIGH YIELD BND;US;ETFB;;"1";NA;NA;41442;PROM;;;93.63;"3";0;NA;3880;PROM;US;0;0;;8.93
2023-01-31;"8172";CA DEFENSIVA DÓLAR;CFME MGOBI;MFS MERIDIAN-GLB OPP BND-I1U;LU;CFME;;"1";NA;NA;39775.37;PROM;;;111.66;"3";0;NA;4441;PROM;LU;1.276;0;;10.221
2023-01-31;"8172";CA DEFENSIVA DÓLAR;CFME LMWPU;Legg Mason Western Asset US Co;IE;CFME;;"1";NA;NA;53469;PROM;;;139.48;"3";0;NA;7458;PROM;IE;0.628;0;;17.164
2023-01-31;"8172";CA DEFENSIVA DÓLAR;CFME MUZCA;MUZINICH EMERGING MARKETS SHOR;IE;CFME;;"1";NA;NA;14017.15;PROM;;;119.86;"3";0;NA;1680;PROM;IE;0.148;0;;3.866
2023-01-31;"8172";CA DEFENSIVA DÓLAR;CFME JPMEI;JPMorgan Funds - Emerging Mark;LU;CFME;;"1";NA;NA;13130.27;PROM;;;123.75;"3";0;NA;1625;PROM;LU;0.172;0;;3.74
2023-01-31;"8172";CA DEFENSIVA DÓLAR;CFME BCGSB;Barings Global Senior Secured;IE;CFME;;"1";NA;NA;26994.88;PROM;;;147.53;"3";0;NA;3983;PROM;IE;0.282;0;;9.167
2023-01-31;"8172";CA DEFENSIVA DÓLAR;CFME AWUCI;AXA WF US CREDIT SHORT DURATIO;LU;CFME;;"1";NA;NA;39511.73;PROM;;;117.31;"3";0;NA;4635;PROM;LU;0.901;0;;10.667
2023-01-31;"8172";CA DEFENSIVA DÓLAR;CFME GAMGL;GAM STAR FUND PLC - GLOBAL RAT;IE;CFME;;"1";NA;NA;27806.56;PROM;;;17.37;"3";0;NA;483;PROM;IE;0.182;0;;1.112
2023-01-31;"8172";CA DEFENSIVA DÓLAR;ETFB LQD;ISHARES IBOXX $ INVESTMENT GRA;US;ETFB;;"1";NA;NA;27021;PROM;;;110.87;"3";0;NA;2996;PROM;US;0;0;;6.895
2023-01-31;"8442";FM CC RENTA INTERNAC;NEMGIAU;NEUBERGER BERMAN;US;CFME;;"1";NA;NA;49511.48;PROM;;;10978.42;"3";0;NA;543558;PROM;US;0;0;;4.652
2023-01-31;"8442";FM CC RENTA INTERNAC;INGUCIC;NN INVESTM NN INVESTMENT PARTN;US;CFME;;"1";NA;NA;119.47;PROM;;;7870233.68;"3";0;NA;940257;PROM;US;0;0;;8.047
2023-01-31;"8442";FM CC RENTA INTERNAC;CCLACDC;CREDICORP CAPITAL LATIN AMERIC;LU;CFME;;"1";NA;NA;571.08;PROM;;;1073778.14;"3";0;NA;613213;PROM;US;0;0;;5.248
2023-01-31;"8442";FM CC RENTA INTERNAC;JPECCAU;JPM FUNDS JPM FUNDS;US;CFME;;"1";NA;NA;4116.84;PROM;;;129553.42;"3";0;NA;533351;PROM;US;0;0;;4.565
2023-01-31;"8442";FM CC RENTA INTERNAC;AGG;ISHARES CORE U.S AGGREGATE BON;US;ETFB;;"1";NA;NA;14795;PROM;;;80604.94;"3";0;NA;1192550;PROM;US;0;0;;10.206
2023-01-31;"8442";FM CC RENTA INTERNAC;VGIT;VANGUARD INTERMEDIATE-TERM TRE;US;ETFA;;"1";NA;NA;10999;PROM;;;48152.29;"3";0;NA;529627;PROM;US;0;0;;4.533
2023-01-31;"8442";FM CC RENTA INTERNAC;GOVT;ISHARES US TREASURY BOND ETF;US;ETFA;;"1";NA;NA;78058;PROM;;;18763.85;"3";0;NA;1464669;PROM;US;0;0;;12.535
2023-01-31;"8442";FM CC RENTA INTERNAC;MEMDIU1;MFS INVEST MFS INVESTMENT MANA;US;CFME;;"1";NA;NA;9385.88;PROM;;;191780.63;"3";0;NA;1800030;PROM;US;0;0;;15.406
2023-01-31;"8442";FM CC RENTA INTERNAC;LQD;ISHARES IBOXX INVESTMENT GRA;US;ETFA;;"1";NA;NA;8132;PROM;;;88704.04;"3";0;NA;721341;PROM;US;0;0;;6.174
